,name,iso,y,c,Circumstances,latest,var,Region,Approach1,Value,Measure,Approach,Perspective
65,Australia,AUS,2009,AUS,all,0,Income,Asia + Oceania,MLD_rforest_exante,0.0119,MLD,Absolute,Ex-Ante Random Forest
66,Australia,AUS,2009,AUS,all,0,Income,Asia + Oceania,MLD_rforest_exante_rel,6.64804469273743,MLD,Relative,Ex-Ante Random Forest
67,Australia,AUS,2009,AUS,all,0,Income,Asia + Oceania,MLD_trees_exante,0.0092,MLD,Absolute,Ex-Ante Tree
68,Australia,AUS,2009,AUS,all,0,Income,Asia + Oceania,MLD_trees_exante_rel,5.13966480446927,MLD,Relative,Ex-Ante Tree
69,Australia,AUS,2009,AUS,all,0,Income,Asia + Oceania,MLD_trees_expost,0.0141,MLD,Absolute,Ex-Post Tree
70,Australia,AUS,2009,AUS,all,0,Income,Asia + Oceania,MLD_trees_expost_rel,7.87709497206704,MLD,Relative,Ex-Post Tree
71,Australia,AUS,2011,AUS,all,0,Income,Asia + Oceania,Gini,0.3242,Gini,Absolute,NA
72,Australia,AUS,2011,AUS,all,0,Income,Asia + Oceania,Gini_rforest_exante,0.0941,Gini,Absolute,Ex-Ante Random Forest
73,Australia,AUS,2011,AUS,all,0,Income,Asia + Oceania,Gini_rforest_exante_rel,29.0252930289945,Gini,Relative,Ex-Ante Random Forest
74,Australia,AUS,2011,AUS,all,0,Income,Asia + Oceania,Gini_trees_exante,0.0851,Gini,Absolute,Ex-Ante Tree
75,Australia,AUS,2011,AUS,all,0,Income,Asia + Oceania,Gini_trees_exante_rel,26.2492288710672,Gini,Relative,Ex-Ante Tree
76,Australia,AUS,2011,AUS,all,0,Income,Asia + Oceania,Gini_trees_expost,0.0743,Gini,Absolute,Ex-Post Tree
77,Australia,AUS,2011,AUS,all,0,Income,Asia + Oceania,Gini_trees_expost_rel,22.9179518815546,Gini,Relative,Ex-Post Tree
78,Australia,AUS,2011,AUS,all,0,Income,Asia + Oceania,MLD,0.1842,MLD,Absolute,NA
79,Australia,AUS,2011,AUS,all,0,Income,Asia + Oceania,MLD_rforest_exante,0.0137,MLD,Absolute,Ex-Ante Random Forest
80,Australia,AUS,2011,AUS,all,0,Income,Asia + Oceania,MLD_rforest_exante_rel,7.43756786102063,MLD,Relative,Ex-Ante Random Forest
81,Australia,AUS,2011,AUS,all,0,Income,Asia + Oceania,MLD_trees_exante,0.0122,MLD,Absolute,Ex-Ante Tree
82,Australia,AUS,2011,AUS,all,0,Income,Asia + Oceania,MLD_trees_exante_rel,6.62323561346363,MLD,Relative,Ex-Ante Tree
83,Australia,AUS,2011,AUS,all,0,Income,Asia + Oceania,MLD_trees_expost,0.0088,MLD,Absolute,Ex-Post Tree
84,Australia,AUS,2011,AUS,all,0,Income,Asia + Oceania,MLD_trees_expost_rel,4.77741585233442,MLD,Relative,Ex-Post Tree
85,Australia,AUS,2013,AUS,all,0,Income,Asia + Oceania,Gini,0.3239,Gini,Absolute,NA
86,Australia,AUS,2013,AUS,all,0,Income,Asia + Oceania,Gini_rforest_exante,0.0849,Gini,Absolute,Ex-Ante Random Forest
87,Australia,AUS,2013,AUS,all,0,Income,Asia + Oceania,Gini_rforest_exante_rel,26.2117937635073,Gini,Relative,Ex-Ante Random Forest
88,Australia,AUS,2013,AUS,all,0,Income,Asia + Oceania,Gini_trees_exante,0.0755,Gini,Absolute,Ex-Ante Tree
89,Australia,AUS,2013,AUS,all,0,Income,Asia + Oceania,Gini_trees_exante_rel,23.3096634763816,Gini,Relative,Ex-Ante Tree
90,Australia,AUS,2013,AUS,all,0,Income,Asia + Oceania,Gini_trees_expost,0.0783,Gini,Absolute,Ex-Post Tree
91,Australia,AUS,2013,AUS,all,0,Income,Asia + Oceania,Gini_trees_expost_rel,24.1741278172275,Gini,Relative,Ex-Post Tree
92,Australia,AUS,2013,AUS,all,0,Income,Asia + Oceania,MLD,0.1846,MLD,Absolute,NA
93,Australia,AUS,2013,AUS,all,0,Income,Asia + Oceania,MLD_rforest_exante,0.0113,MLD,Absolute,Ex-Ante Random Forest
94,Australia,AUS,2013,AUS,all,0,Income,Asia + Oceania,MLD_rforest_exante_rel,6.12134344528711,MLD,Relative,Ex-Ante Random Forest
95,Australia,AUS,2013,AUS,all,0,Income,Asia + Oceania,MLD_trees_exante,0.0099,MLD,Absolute,Ex-Ante Tree
96,Australia,AUS,2013,AUS,all,0,Income,Asia + Oceania,MLD_trees_exante_rel,5.36294691224269,MLD,Relative,Ex-Ante Tree
97,Australia,AUS,2013,AUS,all,0,Income,Asia + Oceania,MLD_trees_expost,0.0104,MLD,Absolute,Ex-Post Tree
98,Australia,AUS,2013,AUS,all,0,Income,Asia + Oceania,MLD_trees_expost_rel,5.63380281690141,MLD,Relative,Ex-Post Tree
99,Australia,AUS,2015,AUS,all,0,Income,Asia + Oceania,Gini,0.3283,Gini,Absolute,NA
100,Australia,AUS,2015,AUS,all,0,Income,Asia + Oceania,Gini_rforest_exante,0.0935,Gini,Absolute,Ex-Ante Random Forest
101,Australia,AUS,2015,AUS,all,0,Income,Asia + Oceania,Gini_rforest_exante_rel,28.4800487359123,Gini,Relative,Ex-Ante Random Forest
102,Australia,AUS,2015,AUS,all,0,Income,Asia + Oceania,Gini_trees_exante,0.0806,Gini,Absolute,Ex-Ante Tree
103,Australia,AUS,2015,AUS,all,0,Income,Asia + Oceania,Gini_trees_exante_rel,24.5507158087116,Gini,Relative,Ex-Ante Tree
104,Australia,AUS,2015,AUS,all,0,Income,Asia + Oceania,Gini_trees_expost,0.0883,Gini,Absolute,Ex-Post Tree
105,Australia,AUS,2015,AUS,all,0,Income,Asia + Oceania,Gini_trees_expost_rel,26.8961315869631,Gini,Relative,Ex-Post Tree
106,Australia,AUS,2015,AUS,all,0,Income,Asia + Oceania,MLD,0.1882,MLD,Absolute,NA
107,Australia,AUS,2015,AUS,all,0,Income,Asia + Oceania,MLD_rforest_exante,0.0136,MLD,Absolute,Ex-Ante Random Forest
108,Australia,AUS,2015,AUS,all,0,Income,Asia + Oceania,MLD_rforest_exante_rel,7.22635494155154,MLD,Relative,Ex-Ante Random Forest
